Month,Ferris State University: (United States),ferris state football: (United States),Ferris State Basketball: (United States),Ferris State Hockey: (United States)
2004-01,52,0,0,1
2004-02,47,3,2,1
2004-03,49,0,0,3
2004-04,44,0,1,1
2004-05,38,1,1,1
2004-06,41,0,1,1
2004-07,42,1,0,0
2004-08,43,2,0,0
2004-09,42,2,0,2
2004-10,51,2,1,2
2004-11,46,1,0,2
2004-12,43,1,0,2
2005-01,48,2,1,1
2005-02,46,3,1,1
2005-03,49,1,2,1
2005-04,47,1,1,1
2005-05,47,2,1,1
2005-06,39,1,1,2
2005-07,44,0,0,1
2005-08,53,1,1,1
2005-09,58,3,1,1
2005-10,61,1,1,1
2005-11,54,1,1,2
2005-12,41,1,1,2
2006-01,46,1,1,1
2006-02,45,1,1,3
2006-03,51,1,0,2
2006-04,46,1,0,1
2006-05,41,1,1,1
2006-06,35,1,1,1
2006-07,39,1,1,1
2006-08,49,1,0,1
2006-09,47,3,1,2
2006-10,56,2,1,2
2006-11,54,1,1,1
2006-12,43,1,1,2
2007-01,46,1,1,2
2007-02,47,1,1,2
2007-03,47,1,1,1
2007-04,49,0,1,1
2007-05,42,0,0,1
2007-06,36,1,1,1
2007-07,35,1,0,0
2007-08,45,1,0,0
2007-09,52,4,0,1
2007-10,54,1,0,3
2007-11,53,2,1,2
2007-12,40,1,1,2
2008-01,42,1,1,1
2008-02,47,1,1,2
2008-03,47,1,1,3
2008-04,45,1,1,1
2008-05,41,0,0,0
2008-06,33,1,0,1
2008-07,38,0,0,1
2008-08,41,1,0,1
2008-09,59,4,1,1
2008-10,51,2,0,2
2008-11,48,2,1,2
2008-12,38,1,1,1
2009-01,43,1,1,2
2009-02,47,1,1,2
2009-03,44,1,1,1
2009-04,42,1,0,1
2009-05,35,0,0,0
2009-06,31,0,0,0
2009-07,34,1,0,1
2009-08,41,2,0,1
2009-09,45,4,0,1
2009-10,49,2,1,2
2009-11,42,3,1,2
2009-12,36,1,1,1
2010-01,46,1,0,3
2010-02,40,1,1,3
2010-03,42,1,1,2
2010-04,44,1,0,1
2010-05,35,0,0,0
2010-06,34,1,1,0
2010-07,33,1,0,0
2010-08,45,1,0,1
2010-09,59,3,0,1
2010-10,56,4,0,2
2010-11,52,2,1,2
2010-12,42,1,0,2
2011-01,55,2,1,3
2011-02,55,1,1,2
2011-03,49,1,1,2
2011-04,47,1,0,1
2011-05,38,1,0,0
2011-06,35,1,0,0
2011-07,34,1,0,1
2011-08,45,1,0,1
2011-09,51,3,0,1
2011-10,53,3,1,2
2011-11,49,2,2,2
2011-12,40,2,0,2
2012-01,48,2,1,2
2012-02,53,1,1,8
2012-03,63,1,1,10
2012-04,100,1,1,21
2012-05,35,1,0,1
2012-06,31,1,0,1
2012-07,32,1,0,1
2012-08,43,2,0,0
2012-09,45,5,0,1
2012-10,47,4,0,2
2012-11,40,2,1,2
2012-12,33,1,0,2
2013-01,42,1,1,3
2013-02,42,1,1,3
2013-03,37,1,0,3
2013-04,40,1,0,1
2013-05,34,1,0,0
2013-06,27,1,0,1
2013-07,32,1,0,0
2013-08,42,2,0,1
2013-09,47,7,0,1
2013-10,46,4,0,2
2013-11,42,3,1,3
2013-12,35,1,1,3
2014-01,43,1,1,4
2014-02,46,1,1,3
2014-03,46,1,1,10
2014-04,37,1,0,1
2014-05,31,1,0,1
2014-06,26,1,0,1
2014-07,28,1,0,1
2014-08,37,2,0,1
2014-09,46,5,0,1
2014-10,49,6,0,3
2014-11,49,8,1,3
2014-12,33,2,1,2
2015-01,39,1,1,2
2015-02,39,1,1,1
2015-03,38,1,1,2
2015-04,36,1,0,0
2015-05,30,1,0,0
2015-06,25,1,0,0
2015-07,26,1,0,0
2015-08,37,2,0,0
2015-09,51,8,0,1
2015-10,51,8,1,2
2015-11,48,9,1,2
2015-12,32,2,1,1
2016-01,33,1,1,2
2016-02,37,1,1,2
2016-03,46,1,1,10
2016-04,35,1,0,1
2016-05,32,1,0,0
2016-06,25,1,0,0
2016-07,22,1,0,0
2016-08,35,2,0,1
2016-09,42,7,0,1
2016-10,43,6,0,3
2016-11,39,6,1,2
2016-12,40,10,1,1
2017-01,33,1,1,2
2017-02,32,2,1,1
2017-03,30,1,1,1
2017-04,29,1,0,1
2017-05,27,1,0,0
2017-06,20,1,0,1
2017-07,23,1,0,0
2017-08,33,2,0,1
2017-09,38,7,0,1
2017-10,45,8,3,2
2017-11,41,8,2,2
2017-12,32,4,2,1
2018-01,33,1,2,2
2018-02,30,1,2,1
2018-03,57,1,22,1
2018-04,33,2,1,1
2018-05,26,1,0,0
2018-06,22,1,1,0
2018-07,24,1,0,1
2018-08,39,3,0,0
2018-09,40,9,1,1
2018-10,53,12,3,2
2018-11,44,11,2,2
2018-12,85,42,2,2
2019-01,33,2,2,1
2019-02,31,1,2,1
2019-03,26,1,1,1
2019-04,29,1,1,0
2019-05,25,1,0,0
2019-06,20,1,0,0
2019-07,23,1,0,0
